"","ListingKey","Term","LoanOriginationDate","LoanOriginalAmount","MonthlyLoanPayment","ProsperScore","ProsperRisk"
"2265","8BBE357646062349745983F","60",2013-04-22,12000,305.96,7,"6 <= Score <= 8"
"2266","8BC63594141469430973330","60",2013-11-12,25000,592.78,10,"Score >= 9"
"2268","3B463595884400735067CE6","36",2013-11-25,15000,542.29,4,"3 <= Score <= 5"
"2270","3B563595030341106671374","60",2013-11-19,10000,301.12,2,"1 <= Score <= 2"
"2276","800D357947467732468D496","36",2013-05-30,4000,158.87,3,"3 <= Score <= 5"
"2284","75FF3594114841087A6686D","36",2013-11-13,15000,526.25,9,"Score >= 9"
"2288","2A9F35771117998644FA603","36",2013-04-22,20000,737.07,4,"3 <= Score <= 5"
"2291","2AA4358434239866359CBEB","36",2013-08-21,4000,163.56,3,"3 <= Score <= 5"
"2292","2B4A3583551726327F28FBC","60",2013-07-17,10000,254.97,5,"3 <= Score <= 5"
"2293","2B4D3591354002486A2BAB3","36",2013-10-10,3000,117.37,2,"1 <= Score <= 2"
"2294","0C953596597203550D2D4A6","60",2013-12-23,15000,398.24,4,"3 <= Score <= 5"
"2299","0CB13568275624827EA0AA7","36",2013-01-10,8000,271.83,7,"6 <= Score <= 8"
"2301","0CB4359082140113189D51A","36",2013-10-09,7000,251.66,7,"6 <= Score <= 8"
"2302","042D35927882017237556EE","36",2013-10-25,4000,168.17,2,"1 <= Score <= 2"
"2304","043B35938040621260E323A","36",2013-10-31,4000,145.41,3,"3 <= Score <= 5"
"2305","043B3595147847085FD70AE","60",2013-12-05,30000,691.07,9,"Score >= 9"
"2306","043C3597231584725E16CAD","60",2013-12-24,4000,125.75,3,"3 <= Score <= 5"
"2307","044535895008127104A2289","60",2013-09-13,10000,309.49,5,"3 <= Score <= 5"
"2311","4CE935901873170423D1344","36",2013-10-09,4000,163.28,2,"1 <= Score <= 2"
"2313","4D1035892415175855B9411","60",2013-09-17,4000,111.04,8,"6 <= Score <= 8"
"2315","4D2735893284251952C24FB","36",2013-09-20,10000,420.42,5,"3 <= Score <= 5"
"2318","46523579250974271ADDB0F","36",2013-05-15,2200,76.9,6,"6 <= Score <= 8"
"2331","3B8F358107334652412C8FD","60",2013-07-25,2650,58.53,10,"Score >= 9"
"2334","456B3565155225185367AD4","60",2013-01-10,8500,198.71,8,"6 <= Score <= 8"
"2337","760235859993411231DEEA3","60",2013-08-14,7000,189.33,5,"3 <= Score <= 5"
"2341","55C33579928947364CB4249","36",2013-06-19,5000,176.75,7,"6 <= Score <= 8"
"2356","0BE73591006889301150AB8","36",2013-10-10,4000,172.76,2,"1 <= Score <= 2"
"2357","0BEB3590760585378CC54E6","60",2013-11-20,10000,305.29,4,"3 <= Score <= 5"
"2358","0BEE359423294465418B95B","36",2013-11-08,15000,483.3,8,"6 <= Score <= 8"
"2359","0BF135972539322930F2D1A","36",2013-12-23,15000,491.01,7,"6 <= Score <= 8"
"2360","0BF93596150076969336339","36",2013-12-05,15000,509.39,9,"Score >= 9"
"2361","0C0135680459372109ABB30","60",2013-01-15,25000,665.69,7,"6 <= Score <= 8"
"2363","0C1E35863686458404DC77B","36",2013-08-14,6000,209.73,4,"3 <= Score <= 5"
"2364","03C3359073936571514744F","36",2013-10-22,4500,140.31,8,"6 <= Score <= 8"
"2370","046F3594988294522CEC670","36",2013-11-19,25000,859.31,7,"6 <= Score <= 8"
"2374","46653594111912948D110E0","36",2013-11-13,6500,249.08,4,"3 <= Score <= 5"
"2378","4D2935832535847162A7646","36",2013-09-03,2000,86.38,4,"3 <= Score <= 5"
"2380","4D2D359185866791472E7F8","60",2013-10-07,10000,248.26,6,"6 <= Score <= 8"
"2383","9781358387501871299C7D0","36",2013-07-23,13000,448.04,4,"3 <= Score <= 5"
"2385","978935705511113410216B2","36",2013-02-20,3000,121.5,2,"1 <= Score <= 2"
"2387","6C6C359565646457250A1CA","60",2013-12-05,10000,261.61,4,"3 <= Score <= 5"
"2396","45CB359510826512121FDAB","36",2013-12-03,15000,574.8,4,"3 <= Score <= 5"
"2406","67C03587319853488F790BE","60",2013-08-22,4000,126.04,3,"3 <= Score <= 5"
"2411","0CA635773635846530CF9DA","36",2013-05-07,20000,707,5,"3 <= Score <= 5"
"2413","0CA835948723589122DBD05","36",2013-11-26,4000,133.6,5,"3 <= Score <= 5"
"2415","2ABB35958601039876F2483","36",2013-12-04,4000,166.54,2,"1 <= Score <= 2"
"2421","2AD93596132214660C6F1F4","36",2013-12-06,17000,530.29,9,"Score >= 9"
"2429","04B03571329879330D1A0B5","36",2013-03-08,8500,337.6,2,"1 <= Score <= 2"
"2431","049D3574518105501B85ED9","36",2013-03-20,10000,370.57,4,"3 <= Score <= 5"
"2434","35833568028625541A144B0","36",2013-01-23,4500,169.51,6,"6 <= Score <= 8"
"2441","6C8A359563353394815EA6B","36",2013-12-04,15000,503.53,6,"6 <= Score <= 8"
"2442","6C923590816379839F5AFB1","36",2013-10-01,4000,172.76,2,"1 <= Score <= 2"
"2443","6C9835917906059319283DC","60",2013-10-16,15000,410.45,4,"3 <= Score <= 5"
"2445","6CA13587914220868A0F729","36",2013-09-04,12000,447.13,4,"3 <= Score <= 5"
"2446","6CA835819772941326A9068","36",2013-07-11,10000,351.52,5,"3 <= Score <= 5"
"2449","45CF359775193654548528F","36",2013-12-17,12000,413.93,3,"3 <= Score <= 5"
"2450","45D03568239386348F6972E","36",2013-01-09,4000,172.76,6,"6 <= Score <= 8"
"2456","45EF3585976128758915F5F","60",2013-08-20,25000,515.21,10,"Score >= 9"
"2462","0C6A3577823005293A114E9","36",2013-05-13,3000,114.56,3,"3 <= Score <= 5"
"2467","77A43578564277127AD9677","36",2013-05-13,3500,151.16,4,"3 <= Score <= 5"
"2473","77DE3586143814136E3A963","36",2013-08-28,11000,367.94,7,"6 <= Score <= 8"
"2480","28033594568633227B83CF7","60",2013-11-14,7000,177.75,7,"6 <= Score <= 8"
"2483","04B635812612200561AFABA","60",2013-06-05,8500,211.2,6,"6 <= Score <= 8"
"2485","04BC3576369380568A6EE89","36",2013-05-01,3000,106.64,4,"3 <= Score <= 5"
"2488","04C63595369815186D0A35C","36",2013-12-09,15000,456.67,11,"Score >= 9"
"2490","04D4358896398146069A155","36",2013-09-05,2000,81.78,4,"3 <= Score <= 5"
"2494","40C935938695771308AE79F","60",2013-11-13,25000,640.29,8,"6 <= Score <= 8"
"2495","40D13575164819080E87261","60",2013-05-15,25000,597.24,6,"6 <= Score <= 8"
"2496","40D73592149876196C62427","36",2013-10-23,15000,467.7,8,"6 <= Score <= 8"
"2507","645335819024270768378FF","60",2013-06-18,3000,85.59,7,"6 <= Score <= 8"
"2508","45FA3584169788286998BA1","36",2013-08-02,15000,469.98,9,"Score >= 9"
"2511","4608358052718342911E973","60",2013-06-11,15000,461.26,5,"3 <= Score <= 5"
"2518","0C793584012937631A7262A","36",2013-07-10,10000,397.18,3,"3 <= Score <= 5"
"2528","68C435791639949374718A4","60",2013-05-16,10000,236.54,9,"Score >= 9"
"2530","68CE35953114622826C7083","36",2013-12-27,4000,142.31,4,"3 <= Score <= 5"
"2531","68E73587874849078FCD784","36",2013-09-13,3500,128.28,3,"3 <= Score <= 5"
"2532","68EC3594285881330F5713F","36",2013-11-05,4000,135.72,4,"3 <= Score <= 5"
"2535","2D0C3575435749652AD280A","36",2013-04-03,3700,115.93,10,"Score >= 9"
"2538","2D133589199580424C37DC2","36",2013-09-16,10000,379.58,7,"6 <= Score <= 8"
"2541","2D31359693563104956F446","36",2013-12-16,12000,438.36,3,"3 <= Score <= 5"
"2543","2993359258692974701AAA3","36",2013-10-30,15000,512.59,7,"6 <= Score <= 8"
"2551","04683590462291306D9A726","36",2013-09-27,12000,368.28,11,"Score >= 9"
"2559","41323581230822173250B2E","60",2013-06-18,4000,130.2,2,"1 <= Score <= 2"
"2560","413D35825456950337D1D35","36",2013-07-09,15000,490.3,8,"6 <= Score <= 8"
"2564","646835922920334408C5B94","36",2013-11-12,2000,69.82,6,"6 <= Score <= 8"
"2567","64853588254785134EDBAA3","60",2013-10-18,10000,260.23,5,"3 <= Score <= 5"
"2569","477335787563259284F7E23","60",2013-05-30,15000,455.52,2,"1 <= Score <= 2"
"2574","478335850948463443CC8BA","36",2013-08-06,8500,271.25,7,"6 <= Score <= 8"
"2586","0CC2357156758356280C596","36",2013-03-07,4000,163.56,2,"1 <= Score <= 2"
"2589","7B2135954957368405637BD","36",2013-11-19,4000,134.76,9,"Score >= 9"
"2593","55183583146257849251905","36",2013-07-19,4000,172.76,2,"1 <= Score <= 2"
"2598","29AB35726877409327236A1","36",2013-03-26,10000,366.51,4,"3 <= Score <= 5"
"2599","29B13579091004894FC23D5","36",2013-06-03,10000,360.22,4,"3 <= Score <= 5"
"2606","04293594638336312F8E6E3","36",2013-12-04,4000,168.17,2,"1 <= Score <= 2"
"2610","04363568019499791359C49","36",2013-01-18,2000,86.38,2,"1 <= Score <= 2"
"2611","044B35932023398013EC934","36",2013-11-05,10000,345.92,4,"3 <= Score <= 5"
"2612","045035688656104633FBC70","60",2013-01-23,7839,186.44,9,"Score >= 9"
"2614","04213591940773646FC1A05","60",2013-10-11,20000,512.23,7,"6 <= Score <= 8"
"2616","042535924956451927D6AF7","36",2013-10-22,20000,734.64,5,"3 <= Score <= 5"
"2617","04303576358656940F7B23B","36",2013-05-13,20000,622.95,7,"6 <= Score <= 8"
"2618","043D3588087178834A9592F","60",2013-08-23,8500,203.06,5,"3 <= Score <= 5"
"2620","044D359737067023139288A","36",2013-12-24,15000,483.3,8,"6 <= Score <= 8"
"2622","4141359203103577235588E","60",2013-10-22,10000,253.93,6,"6 <= Score <= 8"
"2626","412A358290996608795C730","60",2013-07-18,4500,100.53,8,"6 <= Score <= 8"
"2630","414335836989864850F639C","60",2013-07-24,19000,467,5,"3 <= Score <= 5"
"2631","649035805987334874C6D73","36",2013-06-28,7000,275.33,5,"3 <= Score <= 5"
"2635","64D7359332990120544F3CB","60",2013-10-30,10000,230.05,8,"6 <= Score <= 8"
"2636","64E33587560804418EAAE9F","60",2013-09-13,10000,238.9,7,"6 <= Score <= 8"
"2637","64E7357790745139055807E","36",2013-04-25,35000,1198.6,8,"6 <= Score <= 8"
"2642","3EB635872669744440FBF5C","60",2013-08-19,20000,504.5,6,"6 <= Score <= 8"
"2643","3EB73590890933431D679A5","36",2013-10-16,4000,138.37,6,"6 <= Score <= 8"
"2647","403235959063349906DFA3E","36",2013-11-25,4000,171.1,3,"3 <= Score <= 5"
"2649","403835872700881530B0C78","36",2013-08-28,3000,115.69,3,"3 <= Score <= 5"
"2652","404A35861382457736E54A0","36",2013-10-29,10000,341.73,7,"6 <= Score <= 8"
"2655","405F3583480633917E51ECA","36",2013-07-12,4000,165.15,2,"1 <= Score <= 2"
"2658","0CDB357130379898044EEFD","36",2013-03-05,5500,188.35,5,"3 <= Score <= 5"
"2661","0C3F3586154114655BB792F","60",2013-08-07,13000,290.43,9,"Score >= 9"
"2663","0C433574404322955869F13","60",2013-04-15,10000,289.54,2,"1 <= Score <= 2"
"2664","0C443591169409280BF4FD7","60",2013-10-10,10000,309.49,4,"3 <= Score <= 5"
"2665","0C593593510077754173E8E","60",2013-10-31,7000,187.21,4,"3 <= Score <= 5"
"2670","29C9359375169665486F512","36",2013-11-12,20000,734.64,4,"3 <= Score <= 5"
"2671","29CA3572909711310F1C029","36",2013-03-13,4000,158.87,2,"1 <= Score <= 2"
"2672","2BAB3590855527481F2E247","36",2013-10-11,10000,359.52,6,"6 <= Score <= 8"
"2673","2BB23589544512443FF4627","36",2013-09-27,10000,341.73,7,"6 <= Score <= 8"
"2675","04BC3594857281680183F2D","36",2013-12-02,10000,372.15,5,"3 <= Score <= 5"
"2679","04E43582109904323292A90","60",2013-07-10,25000,681.83,6,"6 <= Score <= 8"
"2682","04F93585621794053E7B8DC","36",2013-08-16,4000,158.87,2,"1 <= Score <= 2"
"2684","5522359306514290182EE12","36",2013-11-05,4000,168.17,2,"1 <= Score <= 2"
"2685","553A3582572753057B5CAF3","36",2013-07-10,20000,638.23,9,"Score >= 9"
"2688","55523592104007426741720","36",2013-10-18,3000,120.06,4,"3 <= Score <= 5"
"2691","5EE73586195385855D80401","36",2013-08-16,9000,289.31,9,"Score >= 9"
"2692","415B358790769299546C0FE","36",2013-08-29,12000,448.96,4,"3 <= Score <= 5"
"2699","4ACD3587374499479DF8CED","36",2013-08-20,15000,501.73,4,"3 <= Score <= 5"
"2702","65063584532315864DC63B8","60",2013-08-05,8750,200.62,6,"6 <= Score <= 8"
"2703","650F358626753984240EE2A","36",2013-08-14,5500,199.5,5,"3 <= Score <= 5"
"2705","65103594057956691FE512C","60",2013-11-13,10000,305.29,3,"3 <= Score <= 5"
"2708","653B3583400859728039629","36",2013-07-11,4000,165.15,2,"1 <= Score <= 2"
"2710","424E3593504776745E3AC73","36",2013-10-31,25000,926.54,4,"3 <= Score <= 5"
"2714","42653586585129149E67401","60",2013-08-14,10000,276.7,3,"3 <= Score <= 5"
"2715","426B3593255173549AF8560","36",2013-10-25,6000,196.4,9,"Score >= 9"
"2717","426D359723610154993298A","36",2013-12-13,21000,770.31,6,"6 <= Score <= 8"
"2718","0C5A358591780109428FE50","60",2013-08-20,6003,176.41,4,"3 <= Score <= 5"
"2719","0C633592308330615A6AED8","60",2013-10-25,25000,664.44,4,"3 <= Score <= 5"
"2723","0B293594076222472B38DAE","36",2013-11-01,15000,545.3,4,"3 <= Score <= 5"
"2724","0B2E3566368802336215E2A","36",2013-01-16,25000,830.72,8,"6 <= Score <= 8"
"2725","0D793591889126791FD5C73","36",2013-10-31,12000,436.24,6,"6 <= Score <= 8"
"2726","0D79359610720658763B561","36",2013-12-16,4000,171.1,2,"1 <= Score <= 2"
"2728","2BCE3581053180901FE69D7","60",2013-06-12,10000,238.9,6,"6 <= Score <= 8"
"2730","2BDA35865403934475B0EA3","36",2013-10-23,4000,160.08,4,"3 <= Score <= 5"
"2732","2B6A35915956847824A0A82","36",2013-10-18,15000,505.34,6,"6 <= Score <= 8"
"2736","04793592044657269DC5AF3","36",2013-10-21,15000,495.28,4,"3 <= Score <= 5"
"2738","04813590103628944840F4C","36",2013-09-26,4000,161.78,3,"3 <= Score <= 5"
"2744","5EED359588240040376A4AE","36",2013-12-13,15000,517.41,9,"Score >= 9"
"2751","74183595311651794ECBE5A","36",2013-12-13,15000,486.76,9,"Score >= 9"
"2753","4AD43595743212436461C45","60",2013-12-09,7000,174.91,4,"3 <= Score <= 5"
"2754","4ADC35757195816096438B3","36",2013-04-09,3000,123.86,3,"3 <= Score <= 5"
"2758","4AF83572317608841AACCC4","60",2013-03-04,3000,67.02,8,"6 <= Score <= 8"
"2763","85CF3590808319802A2AB8A","36",2013-10-02,8234,315.53,3,"3 <= Score <= 5"
"2768","85F23596837067246078592","36",2013-12-13,5000,172.47,4,"3 <= Score <= 5"
"2769","85F9356884052037609B13F","36",2013-02-05,2000,73.3,4,"3 <= Score <= 5"
"2771","42873570481476055A89ED7","60",2013-02-12,4000,128.65,4,"3 <= Score <= 5"
"2785","0E613596833139647A53C43","36",2013-12-18,4000,161.67,2,"1 <= Score <= 2"
"2787","0E643592049239050408F8A","60",2013-10-08,15000,395.74,6,"6 <= Score <= 8"
"2788","2B7B3584920614739F72687","36",2013-08-29,2200,75.82,5,"3 <= Score <= 5"
"2794","29AA3597325574261106FAE","36",2013-12-18,6000,196.4,7,"6 <= Score <= 8"
"2803","03D93575411387752873D8F","36",2013-04-18,13000,491.38,3,"3 <= Score <= 5"
"2804","03DF358648511848571B092","36",2013-08-22,16000,539.03,7,"6 <= Score <= 8"
"2808","744335937495964062C3DDA","36",2013-11-08,30000,1057.68,6,"6 <= Score <= 8"
"2810","7449358180060932335737B","36",2013-07-03,2000,70.7,6,"6 <= Score <= 8"
"2812","745035963934854482052C5","60",2013-12-11,4000,100.81,6,"6 <= Score <= 8"
"2814","73F635706321885111BABCE","36",2013-02-28,25000,778.69,7,"6 <= Score <= 8"
"2824","86093574550426694654CB8","60",2013-04-04,10000,289.54,4,"3 <= Score <= 5"
"2825","76AC35673669943278E7A82","12",2013-01-23,4000,372.97,2,"1 <= Score <= 2"
"2828","76B9359716855203597504A","60",2013-12-20,15000,423.2,3,"3 <= Score <= 5"
"2831","76C93583477396703E4C528","36",2013-07-24,2500,98.33,4,"3 <= Score <= 5"
"2832","76CA35981203647003A187F","36",2013-12-26,5000,167.84,4,"3 <= Score <= 5"
"2833","479B358405019183211743A","60",2013-07-22,25000,537.22,8,"6 <= Score <= 8"
"2834","479D3594068041369D16F69","36",2013-11-04,15000,521.45,7,"6 <= Score <= 8"
"2845","0E703571994662477A3C385","36",2013-02-22,4000,172.76,3,"3 <= Score <= 5"
"2846","0E793568301741431549A31","36",2013-05-09,3000,129.57,7,"6 <= Score <= 8"
"2848","0D2E356812515824303F865","60",2013-01-28,13000,346.16,7,"6 <= Score <= 8"
"2849","0D3035907797076695C5F29","36",2013-10-16,10000,416.29,3,"3 <= Score <= 5"
"2856","287D3575845089118AD5863","60",2013-04-11,15000,409.1,3,"3 <= Score <= 5"
"2858","03E635864100685969DC37F","60",2013-08-09,4000,101.99,5,"3 <= Score <= 5"
"2865","04AB357715255595458B8A9","60",2013-05-03,15000,390.26,5,"3 <= Score <= 5"
"2866","04AB35830445880986DEAB7","60",2013-07-12,4000,131.78,2,"1 <= Score <= 2"
"2867","73F7357947748970367E348","36",2013-05-30,15000,549.76,4,"3 <= Score <= 5"
"2871","740D357120998773145632E","12",2013-02-06,3000,267.19,4,"3 <= Score <= 5"
"2878","4B453581418712617019A84","36",2013-07-30,2000,62.3,10,"Score >= 9"
"2880","47CA3576726077612AF3750","36",2013-05-16,10000,324.27,8,"6 <= Score <= 8"
"2888","8D8E3590447985633E41A8B","36",2013-10-04,20000,640.57,10,"Score >= 9"
"2890","8D9B3579005895238E792F9","36",2013-05-17,6000,197.94,4,"3 <= Score <= 5"
"2895","4074359448281925950AB0C","36",2013-11-15,10000,375.98,4,"3 <= Score <= 5"
"2897","408135848754355511C9ABF","36",2013-08-01,11000,367.94,9,"Score >= 9"
"2899","408F3591828661735BBF548","36",2013-10-17,7000,231.13,9,"Score >= 9"
"2900","40973590844424427B86823","60",2013-10-16,10000,230.05,4,"3 <= Score <= 5"
"2905","0D533589067056378CFF301","36",2013-10-09,4000,160.08,4,"3 <= Score <= 5"
"2908","0D6C3587516236184A2C66F","60",2013-08-30,25000,573.19,6,"6 <= Score <= 8"
"2914","289E3596449089996EE3A5F","60",2013-12-13,5000,114.12,11,"Score >= 9"
"2921","04553595166758075E9B759","60",2013-11-26,15000,384.17,6,"6 <= Score <= 8"
"2923","04673592777180243F1B444","36",2013-11-29,5000,174.55,6,"6 <= Score <= 8"
"2924","047335838083399151284D9","36",2013-07-16,10000,401.1,6,"6 <= Score <= 8"
"2929","78EA3566621488559059485","36",2013-01-08,17750,561.48,9,"Score >= 9"
"2932","78F135909684548847D56CC","36",2013-09-25,4000,160.08,3,"3 <= Score <= 5"
"2934","80C33597904760378BB3AFD","36",2013-12-19,5000,186.07,3,"3 <= Score <= 5"
"2938","47E93578038667329B540F6","60",2013-07-11,5000,124.24,4,"3 <= Score <= 5"
"2939","47FE359194883956488B582","36",2013-10-25,15000,563.97,4,"3 <= Score <= 5"
"2940","48053585902491351694C9A","36",2013-08-22,4500,148.46,7,"6 <= Score <= 8"
"2949","8DC43575007898696C1E452","36",2013-04-11,3000,113.4,2,"1 <= Score <= 2"
"2951","8DCD35879741875549B06A2","36",2013-08-23,4000,130.75,9,"Score >= 9"
"2953","8DD93597587889176C0F7C6","36",2013-12-19,4000,168.15,4,"3 <= Score <= 5"
"2957","0D8D359165869662495C293","36",2013-10-11,8500,336.57,3,"3 <= Score <= 5"
"2959","0D9135945706230335E6725","60",2013-11-05,15000,384.17,6,"6 <= Score <= 8"
"2963","42B33571930836742B95F08","60",2013-02-21,11500,321.49,2,"1 <= Score <= 2"
"2964","42B63595913679482FE5010","36",2013-12-02,25000,858.7,6,"6 <= Score <= 8"
"2971","2B5D356635833469846CCAA","60",2013-01-17,25000,543.69,10,"Score >= 9"
"2973","2B6435723551413304F4435","36",2013-03-19,15000,537.33,3,"3 <= Score <= 5"
"2976","2B8635955431852911EDEE7","36",2013-12-06,10000,334.01,6,"6 <= Score <= 8"
"2979","2C9F35938533235754D6C7D","36",2013-10-31,22500,778.32,5,"3 <= Score <= 5"
"2980","05693579690733289B44A2F","60",2013-06-17,10000,254.97,7,"6 <= Score <= 8"
"2982","055E3590369524462F4F2FC","36",2013-09-19,10000,370.62,4,"3 <= Score <= 5"
"2984","056B3590820027821984FF8","36",2013-10-21,25000,842.23,4,"3 <= Score <= 5"
"2989","80D835782888249977B0384","60",2013-05-15,13000,327.93,5,"3 <= Score <= 5"
"2990","80DC3585175981228AF5543","36",2013-08-06,12000,382.94,8,"6 <= Score <= 8"
"2991","80E035896524101764EF0C3","60",2013-09-30,18000,471.9,4,"3 <= Score <= 5"
"3001","506D35785627656545A1D3D","60",2013-06-25,20000,458.55,9,"Score >= 9"
"3002","506F3585665723919213A3E","36",2013-08-09,5000,174.77,10,"Score >= 9"
"3007","8DE23594024973866D2D6ED","36",2013-11-12,5000,163.67,11,"Score >= 9"
"3008","8DE73579948331658C58C15","36",2013-06-19,4000,165.15,2,"1 <= Score <= 2"
"3010","8DF73596736009942E79606","36",2013-12-31,15000,501.01,7,"6 <= Score <= 8"
"3013","8E0C3572659307849CD4AC2","60",2013-03-08,15000,314.95,10,"Score >= 9"
"3014","8E0C3591909807105F823F7","60",2013-10-18,10000,282.48,4,"3 <= Score <= 5"
"3017","0CE1359164112622792210A","36",2013-10-22,3500,124.7,9,"Score >= 9"
"3018","0CE83583080522877ADD8BA","60",2013-07-17,5000,119.45,7,"6 <= Score <= 8"
"3019","0CEA3590968355384AD8E89","36",2013-09-27,15000,574.8,2,"1 <= Score <= 2"
"3023","0CF635895559781161C1DF0","36",2013-11-04,3000,106.36,6,"6 <= Score <= 8"
"3025","47B93576338369391F5A193","60",2013-04-23,10000,289.54,3,"3 <= Score <= 5"
"3027","47C535817851350207FC99E","60",2013-06-17,13000,346.16,4,"3 <= Score <= 5"
"3032","48223592805665195893E69","36",2013-11-07,10000,352.56,5,"3 <= Score <= 5"
"3034","2CA03588973043709D191B8","36",2013-10-17,7500,277.93,4,"3 <= Score <= 5"
